iter	Passed	Remaining
0	0	84
1	1	76
2	2	73
3	2	68
4	3	67
5	4	66
6	4	66
7	5	66
8	6	66
9	7	65
10	7	64
11	8	63
12	9	62
13	10	62
14	10	61
15	11	60
16	12	60
17	13	59
18	13	58
19	14	57
20	15	56
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	29	43
41	30	41
42	30	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
