iter	Passed	Remaining
0	138	138436
1	142	71098
2	147	49087
3	151	37748
4	154	30762
5	156	25955
6	158	22537
7	161	19972
8	162	17899
9	164	16260
10	165	14904
11	166	13746
12	168	12761
13	169	11922
14	170	11189
15	171	10548
16	172	9975
17	174	9495
18	175	9053
19	176	8638
20	177	8262
21	178	7915
22	178	7597
23	179	7304
24	180	7035
25	181	6786
26	181	6555
27	182	6341
28	183	6144
29	184	5956
30	184	5780
31	185	5616
32	186	5462
33	187	5320
34	188	5205
35	189	5078
36	190	4951
37	190	4832
38	191	4719
39	192	4612
40	192	4509
41	193	4411
42	194	4319
43	194	4230
44	195	4146
45	195	4063
46	196	3984
47	197	3908
48	197	3836
49	198	3767
50	198	3700
51	199	3636
52	200	3574
53	200	3515
54	201	3457
55	202	3408
56	203	3360
57	203	3309
58	204	3259
59	204	3210
60	205	3163
61	206	3117
62	206	3073
63	207	3030
64	207	2988
65	208	2948
66	208	2909
67	209	2871
68	210	2834
69	210	2798
70	211	2763
71	211	2729
72	212	2697
73	212	2665
74	213	2634
75	214	2603
76	214	2573
77	215	2544
78	215	2516
79	216	2488
80	217	2470
81	218	2448
82	219	2420
83	219	2395
84	220	2370
85	221	2350
86	221	2328
87	222	2306
88	223	2283
89	223	2261
90	224	2240
91	224	2219
92	225	2198
93	225	2177
94	226	2157
95	227	2138
96	227	2119
97	228	2100
98	228	2082
99	229	2064
100	229	2046
101	230	2029
102	231	2012
103	231	1997
104	232	1982
105	233	1966
106	233	1950
107	234	1935
108	234	1920
109	235	1905
110	236	1890
111	236	1876
112	237	1862
113	237	1848
114	238	1834
115	238	1820
116	239	1806
117	239	1793
118	240	1780
119	241	1767
120	241	1755
121	242	1742
122	242	1730
123	243	1718
124	243	1706
125	244	1695
126	244	1682
127	245	1671
128	246	1661
129	248	1659
130	248	1651
131	249	1640
132	250	1630
133	250	1620
134	251	1609
135	251	1599
136	252	1589
137	252	1580
138	253	1570
139	254	1561
140	254	1551
141	255	1541
142	255	1532
143	256	1523
144	256	1514
145	257	1505
146	257	1496
147	258	1487
148	259	1479
149	259	1471
150	260	1462
151	260	1454
152	261	1449
153	263	1445
154	263	1437
155	264	1430
156	264	1422
157	265	1414
158	266	1407
159	266	1399
160	267	1391
161	267	1384
162	268	1376
163	268	1369
164	269	1362
165	269	1355
166	270	1348
167	270	1341
168	271	1335
169	272	1328
170	272	1322
171	273	1315
172	273	1309
173	274	1302
174	275	1296
175	275	1290
176	276	1287
177	277	1282
178	278	1276
179	278	1270
180	279	1264
181	279	1258
182	280	1252
183	281	1246
184	281	1240
185	282	1235
186	282	1229
187	283	1223
188	283	1218
189	284	1212
190	285	1207
191	285	1202
192	286	1196
193	286	1191
194	287	1186
195	287	1181
196	288	1176
197	289	1170
198	289	1165
199	290	1160
200	290	1156
201	291	1153
202	292	1148
203	293	1143
204	293	1139
205	294	1134
206	294	1129
207	295	1124
208	295	1120
209	296	1115
210	297	1111
211	297	1106
212	298	1102
213	298	1097
214	299	1093
215	299	1088
216	300	1084
217	301	1079
218	301	1075
219	302	1071
220	302	1067
221	303	1062
222	303	1058
223	304	1054
224	305	1050
225	307	1052
226	308	1049
227	308	1046
228	309	1042
229	310	1038
230	310	1035
231	311	1031
232	312	1028
233	313	1024
234	313	1021
235	314	1018
236	315	1014
